[2026-02-27 18:26:59,080] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2026-02-27 18:27:08,055] INFO django.server: "GET /api/docs HTTP/1.1" 200 702
[2026-02-27 18:27:08,576] INFO django.server: "GET /api/openapi.json HTTP/1.1" 200 3722
[2026-02-27 18:27:08,954] INFO django.server: "GET /static/ninja/favicon.svg HTTP/1.1" 304 0
[2026-02-27 18:27:59,961] INFO apps: New user registered: admin with role admin
[2026-02-27 18:27:59,963] INFO django.server: "POST /api/v1/auth/register HTTP/1.1" 200 40
[2026-02-27 18:29:17,733] INFO apps: New user registered: user1 with role user
[2026-02-27 18:29:17,738] INFO django.server: "POST /api/v1/auth/register HTTP/1.1" 200 40
[2026-02-27 18:29:44,003] INFO apps: User admin logged in successfully
[2026-02-27 18:29:44,178] INFO django.server: "POST /api/v1/auth/login HTTP/1.1" 200 503
[2026-02-27 18:29:44,287] INFO django.server: "GET /api/v1/tasks/ HTTP/1.1" 200 2
[2026-02-27 18:30:07,514] INFO apps: Task created by user admin
[2026-02-27 18:30:07,517] INFO django.server: "POST /api/v1/tasks/ HTTP/1.1" 200 142
[2026-02-27 18:30:07,576] INFO django.server: "GET /api/v1/tasks/ HTTP/1.1" 200 144
[2026-02-27 18:30:20,765] INFO django.server: "OPTIONS /api/v1/tasks/7 HTTP/1.1" 200 0
[2026-02-27 18:30:20,989] INFO apps: Task 7 updated by user admin
[2026-02-27 18:30:20,990] INFO django.server: "PUT /api/v1/tasks/7 HTTP/1.1" 200 142
[2026-02-27 18:30:21,095] INFO django.server: "GET /api/v1/tasks/ HTTP/1.1" 200 144
[2026-02-27 18:30:25,720] INFO apps: Task 7 deleted by user admin
[2026-02-27 18:30:25,722] INFO django.server: "DELETE /api/v1/tasks/7 HTTP/1.1" 200 35
[2026-02-27 18:30:25,824] INFO django.server: "GET /api/v1/tasks/ HTTP/1.1" 200 2
[2026-02-27 18:30:28,588] WARNING django.request: Unauthorized: /api/v1/tasks/
[2026-02-27 18:30:28,591] WARNING django.server: "GET /api/v1/tasks/ HTTP/1.1" 401 26
[2026-02-27 18:30:42,080] INFO apps: User user1 logged in successfully
[2026-02-27 18:30:42,083] INFO django.server: "POST /api/v1/auth/login HTTP/1.1" 200 502
[2026-02-27 18:30:42,296] INFO django.server: "GET /api/v1/tasks/ HTTP/1.1" 200 2
[2026-02-27 18:30:49,114] WARNING django.request: Unauthorized: /api/v1/tasks/
[2026-02-27 18:30:49,117] WARNING django.server: "GET /api/v1/tasks/ HTTP/1.1" 401 26
